,Selection,High Freq (Hz),File Offset (s),filename,duration,marginals
0,14,52.9,6205.507,nn01a_20180305_000000.wav,5.7266,
1,15,47.6,6377.209,nn01a_20180305_000000.wav,3.6576,marginal
2,16,65.5,7479.007,nn01a_20180305_000000.wav,4.6182,
3,17,62.4,7693.899,nn01a_20180305_000000.wav,7.0197,
4,18,39.73,7944.7452,nn01a_20180305_000000.wav,7.5279,marginal
5,19,83.5,8078.18,nn01a_20180305_000000.wav,6.5763,
6,20,69.8,8211.065999999999,nn01a_20180305_000000.wav,5.431,
7,21,52.591,8412.6311,nn01a_20180305_000000.wav,7.6513,
8,22,47.6,8543.190999999999,nn01a_20180305_000000.wav,4.5074,
9,23,62.4,12242.183,nn01a_20180305_000000.wav,5.1539,
10,24,62.4,12258.07,nn01a_20180305_000000.wav,6.8719,
11,25,74.0,12317.538,nn01a_20180305_000000.wav,5.7266,
12,26,52.9,12443.605,nn01a_20180305_000000.wav,6.7241,marginal
13,27,69.8,12575.383,nn01a_20180305_000000.wav,6.797999999999999,
14,28,74.0,12823.932,nn01a_20180305_000000.wav,7.6108,
15,29,61.3,13055.139,nn01a_20180305_000000.wav,9.4211,
16,30,60.3,13558.577,nn01a_20180305_000000.wav,5.8374,marginal
17,31,49.7,13774.133999999998,nn01a_20180305_000000.wav,5.4864,marginal
18,32,65.5,13795.47,nn01a_20180305_000000.wav,5.9297,marginal
19,33,43.6,13806.558,nn01a_20180305_000000.wav,6.9273,
20,34,45.5,13865.157,nn01a_20180305_000000.wav,6.4471,
21,35,79.3,14644.843,nn01a_20180305_000000.wav,7.2783,marginal
22,36,88.5,15025.688,nn01a_20180305_000000.wav,2.3646,
23,37,182.9,16654.148999999998,nn01a_20180305_000000.wav,6.096,
24,38,66.6,16762.26,nn01a_20180305_000000.wav,5.5049,
25,39,75.1,16833.587,nn01a_20180305_000000.wav,7.1305,
26,40,112.1,17069.819,nn01a_20180305_000000.wav,4.8768,
27,41,74.0,17100.077,nn01a_20180305_000000.wav,5.1724,
28,42,41.543,17799.2167,nn01a_20180305_000000.wav,5.4321,
29,43,46.736,17822.42,nn01a_20180305_000000.wav,4.9448,
30,44,63.056,17830.622,nn01a_20180305_000000.wav,5.5329,
31,45,66.766,17838.453999999998,nn01a_20180305_000000.wav,5.7503,
32,46,60.089,17848.7723,nn01a_20180305_000000.wav,6.9629,
33,47,50.445,17858.59,nn01a_20180305_000000.wav,6.6761,
34,48,63.798,17869.953999999998,nn01a_20180305_000000.wav,6.917000000000002,
35,49,45.5,17880.077,nn01a_20180305_000000.wav,5.5418,
36,50,37.0,17895.543,nn01a_20180305_000000.wav,3.3251,
37,51,172.3,17903.612,nn01a_20180305_000000.wav,4.6182,
38,52,53.9,17914.921000000002,nn01a_20180305_000000.wav,3.9532,
39,53,40.801,17928.1011,nn01a_20180305_000000.wav,6.4197,
40,54,45.252,17939.915,nn01a_20180305_000000.wav,6.7539,
41,55,43.3,17951.7,nn01a_20180305_000000.wav,5.0985,
42,56,49.703,19669.171,nn01a_20180305_000000.wav,5.9987,
43,57,53.9,19675.581,nn01a_20180305_000000.wav,3.4729,
44,58,56.38,19678.888,nn01a_20180305_000000.wav,6.3064,
45,59,49.1,19685.076,nn01a_20180305_000000.wav,3.1404,
46,60,47.478,19688.974,nn01a_20180305_000000.wav,4.8129,
47,87,69.9,9405.569,nn01b_20180309_000000.wav,6.3916,
48,88,297.7,9413.069,nn01b_20180309_000000.wav,1.7733,
49,89,60.4,9416.653,nn01b_20180309_000000.wav,2.0689,
50,90,46.7,9421.437,nn01b_20180309_000000.wav,2.1797,
51,91,56.1,9439.707,nn01b_20180309_000000.wav,2.9187,
52,92,54.0,9446.542,nn01b_20180309_000000.wav,6.4285,
53,93,71.0,9466.478,nn01b_20180309_000000.wav,4.9507,
54,94,45.5,9483.953,nn01b_20180309_000000.wav,1.8472,marginal
55,95,43.0,9496.995,nn01b_20180309_000000.wav,2.8448,marginal
56,96,50.445,9528.1859,nn01b_20180309_000000.wav,4.2618,marginal
57,97,57.122,9586.4608,nn01b_20180309_000000.wav,4.0888,
58,98,54.0,9661.618,nn01b_20180309_000000.wav,5.9482,
